338003ff_3980020000000000_10000_0 | 39800200_1
338001ff_3980010000000000_10000_0 | 39800100_1
3fffffc2_3fb504de00000000_10000_0 | 3fb504de_1
338000ff_3980008000000000_10000_0 | 39800080_1
3380007f_3980004000000000_10000_0 | 39800040_1
34008400_39b5623200000000_10000_0 | 39b56232_1
3380003f_3980002000000000_10000_0 | 39800020_1
3380001f_3980001000000000_10000_0 | 39800010_1
3380000f_3980000800000000_10000_0 | 39800008_1
5da5bbf7_4e91a67400000000_10000_0 | 4e91a674_1
33800007_3980000400000000_10000_0 | 39800004_1
33800003_3980000200000000_10000_0 | 39800002_1
0d80013e_2680009f00000000_10000_0 | 2680009f_1
3d800000_3e80000000000000_00000_0 | 3e800000_1
3d800001_3e80000100000000_10000_0 | 3e800001_1
39ffff07_3cb5049c00000000_10000_0 | 3cb5049c_1
3d800002_3e80000100000000_10000_0 | 3e800001_1
3d800004_3e80000200000000_10000_0 | 3e800002_1
33a9d9db_399372b400000000_10000_0 | 399372b4_1
3d800008_3e80000400000000_10000_0 | 3e800004_1
3d800010_3e80000800000000_10000_0 | 3e800008_1
3d800020_3e80001000000000_10000_0 | 3e800010_1
4f80000b_4780000600000000_10000_0 | 47800006_1
3d800040_3e80002000000000_10000_0 | 3e800020_1
3d800080_3e80004000000000_10000_0 | 3e800040_1
1f7f8008_2f7fbffc00000000_10000_0 | 2f7fbffc_1
3d800100_3e80008000000000_10000_0 | 3e800080_1
3d9ff7ff_3e8f182900000000_10000_0 | 3e8f1829_1
3d800200_3e80010000000000_10000_0 | 3e800100_1
3f8008ff_3f80048000000000_10000_0 | 3f800480_1
3d800400_3e80020000000000_10000_0 | 3e800200_1
3d800800_3e80040000000000_10000_0 | 3e800400_1
52fffff9_493504f100000000_10000_0 | 493504f1_1
3d801000_3e80080000000000_10000_0 | 3e800800_1
45e68d66_42abc96b00000000_10000_0 | 42abc96b_1
3d802000_3e80100000000000_10000_0 | 3e801000_1
3d804000_3e801ffd00000000_10000_0 | 3e801ffd_1
3d808000_3e803ff100000000_10000_0 | 3e803ff1_1
4bcb12ef_45a1399300000000_10000_0 | 45a13993_1
3d810000_3e807fc100000000_10000_0 | 3e807fc1_1
3d820000_3e80ff0200000000_10000_0 | 3e80ff02_1
3d840000_3e81fc1000000000_10000_0 | 3e81fc10_1
