3e7f800e_3effbffe00000000_10000_0 | 3effbffe_1
3dffffe0_3eb504e700000000_10000_0 | 3eb504e7_1
3dfffff0_3eb504ed00000000_10000_0 | 3eb504ed_1
3dfffff8_3eb504f000000000_10000_0 | 3eb504f0_1
4180004f_4080002700000000_10000_0 | 40800027_1
3dfffffc_3eb504f100000000_10000_0 | 3eb504f1_1
3dfffffe_3eb504f200000000_10000_0 | 3eb504f2_1
3dffffff_3eb504f200000000_10000_0 | 3eb504f2_1
4e800005_4700000200000000_10000_0 | 47000002_1
3dfffffd_3eb504f200000000_10000_0 | 3eb504f2_1
5100fff0_4835b99200000000_10000_0 | 4835b992_1
3dfffffb_3eb504f100000000_10000_0 | 3eb504f1_1
35c08000_3a9cf8a900000000_10000_0 | 3a9cf8a9_1
3dfffff7_3eb504f000000000_10000_0 | 3eb504f0_1
3dffffef_3eb504ed00000000_10000_0 | 3eb504ed_1
37c00007_3b9cc47300000000_10000_0 | 3b9cc473_1
3dffffdf_3eb504e700000000_10000_0 | 3eb504e7_1
3dffffbf_3eb504dc00000000_10000_0 | 3eb504dc_1
3dffff7f_3eb504c500000000_10000_0 | 3eb504c5_1
3e054365_3eb8b41a00000000_10000_0 | 3eb8b41a_1
3dfffeff_3eb5049800000000_10000_0 | 3eb50498_1
3dfffdff_3eb5043d00000000_10000_0 | 3eb5043d_1
3efff7c0_3f35020800000000_10000_0 | 3f350208_1
3dfffbff_3eb5038800000000_10000_0 | 3eb50388_1
41689882_4074047600000000_10000_0 | 40740476_1
3dfff7ff_3eb5021e00000000_10000_0 | 3eb5021e_1
407fc003_3fffdfff00000000_10000_0 | 3fffdfff_1
3dffefff_3eb4ff4a00000000_10000_0 | 3eb4ff4a_1
3dffdfff_3eb4f9a200000000_10000_0 | 3eb4f9a2_1
3dffbfff_3eb4ee5000000000_10000_0 | 3eb4ee50_1
3dff7fff_3eb4d7ab00000000_10000_0 | 3eb4d7ab_1
407ff9ff_3ffffcff00000000_10000_0 | 3ffffcff_1
3dfeffff_3eb4aa5900000000_10000_0 | 3eb4aa59_1
3dfdffff_3eb44f9300000000_10000_0 | 3eb44f93_1
3dfbffff_3eb3997c00000000_10000_0 | 3eb3997c_1
3df7ffff_3eb22b1f00000000_10000_0 | 3eb22b1f_1
3ac003ff_3d1cc61200000000_10000_0 | 3d1cc612_1
3defffff_3eaf456e00000000_10000_0 | 3eaf456e_1
3ddfffff_3ea953fc00000000_10000_0 | 3ea953fc_1
3dbfffff_3e9cc47000000000_10000_0 | 3e9cc470_1
3f000fdf_3f35102b00000000_10000_0 | 3f35102b_1
3d9fffff_3e8f1bbc00000000_10000_0 | 3e8f1bbc_1
3e0be2b9_3ebd3cb900000000_10000_0 | 3ebd3cb9_1
3d8fffff_3e87c3b500000000_10000_0 | 3e87c3b5_1
3d87ffff_3e83f07a00000000_10000_0 | 3e83f07a_1
4f0c24d2_473d696a00000000_10000_0 | 473d696a_1
3d83ffff_3e81fc0f00000000_10000_0 | 3e81fc0f_1
3d81ffff_3e80ff0100000000_10000_0 | 3e80ff01_1
3d80ffff_3e807fbf00000000_10000_0 | 3e807fbf_1
3d807fff_3e803fef00000000_10000_0 | 3e803fef_1
4e000083_46b5054f00000000_10000_0 | 46b5054f_1
3d803fff_3e801ffb00000000_10000_0 | 3e801ffb_1
3d801fff_3e800ffe00000000_10000_0 | 3e800ffe_1
3d800fff_3e8007ff00000000_10000_0 | 3e8007ff_1
3d8007ff_3e8003ff00000000_10000_0 | 3e8003ff_1
627ffffa_50fffffc00000000_10000_0 | 50fffffc_1
3d8003ff_3e8001ff00000000_10000_0 | 3e8001ff_1
44000fdf_41b5102b00000000_10000_0 | 41b5102b_1
3d8001ff_3e8000ff00000000_10000_0 | 3e8000ff_1
33ff03fe_39b4abc400000000_10000_0 | 39b4abc4_1
3d8000ff_3e80007f00000000_10000_0 | 3e80007f_1
3d80007f_3e80003f00000000_10000_0 | 3e80003f_1
0100001e_2035050800000000_10000_0 | 20350508_1
3d80003f_3e80001f00000000_10000_0 | 3e80001f_1
4ef87ffe_4732591400000000_10000_0 | 47325914_1
3d80001f_3e80000f00000000_10000_0 | 3e80000f_1
3d80000f_3e80000700000000_10000_0 | 3e800007_1
3d800007_3e80000300000000_10000_0 | 3e800003_1
3d800003_3e80000100000000_10000_0 | 3e800001_1
3e000000_3eb504f300000000_10000_0 | 3eb504f3_1
3e000001_3eb504f300000000_10000_0 | 3eb504f3_1
41000801_40350a9b00000000_10000_0 | 40350a9b_1
3e000002_3eb504f400000000_10000_0 | 3eb504f4_1
3e000004_3eb504f600000000_10000_0 | 3eb504f6_1
3e000008_3eb504f800000000_10000_0 | 3eb504f8_1
3e000010_3eb504fe00000000_10000_0 | 3eb504fe_1
2ef000ff_372f45cb00000000_10000_0 | 372f45cb_1
3e000020_3eb5050900000000_10000_0 | 3eb50509_1
3e000040_3eb5052000000000_10000_0 | 3eb50520_1
3e000080_3eb5054d00000000_10000_0 | 3eb5054d_1
5f7e7fff_4f7f3fb700000000_10000_0 | 4f7f3fb7_1
3e000100_3eb505a800000000_10000_0 | 3eb505a8_1
3e000200_3eb5065d00000000_10000_0 | 3eb5065d_1
3e000400_3eb507c700000000_10000_0 | 3eb507c7_1
3e8f936e_3f07907e00000000_10000_0 | 3f07907e_1
3e000800_3eb50a9b00000000_10000_0 | 3eb50a9b_1
3e001000_3eb5104300000000_10000_0 | 3eb51043_1
