c08083fe_bd800012_428083ec_xxxxx_x | 428083ec_1
33ba0470_407ffffe_32ba0471_xxxxx_x | 32ba0471_1
fe8000f6_4e7f7ff7_ef80411b_xxxxx_x | ef80411b_1
4078003f_4e200000_31c6669b_xxxxx_x | 31c66699_0
7e81fc00_40800000_7d81fc00_xxxxx_x | 7d81fc00_1
6000bfff_4077fffe_5f04e73a_xxxxx_x | 5f04e73a_1
4e80021e_40fffdfb_4d000320_xxxxx_x | 4d000321_0
c0000000_40b71d4f_beb2f2bb_xxxxx_x | beb2f2ba_0
ce7fff6e_40800001_cd7fff6c_xxxxx_x | cd7fff6c_1
3dff0fff_42550254_3b19453e_xxxxx_x | 3b19453c_0
46fff008_41007f7f_457ef217_xxxxx_x | 457ef217_1
cbd55f53_bdc00001_4d8e3f8c_xxxxx_x | 4d8e3f8c_1
bf668a0e_40ffffff_bde68a0f_xxxxx_x | bde68a0f_1
4e100ee3_bac07fff_d2bf9422_xxxxx_x | d2bf9422_1
5f34cb6d_40ffc004_5db4f8a9_xxxxx_x | 5db4f8a8_0
be81ff80_40fffffe_bd01ff81_xxxxx_x | bd01ff81_1
5f404000_3f7ffb80_5f404361_xxxxx_x | 5f404361_1
c17ff808_be4af009_42a172dd_xxxxx_x | 42a172dd_1
cf800600_3efffffc_d0000602_xxxxx_x | d0000602_1
25820002_5ee6bd23_06103b7d_xxxxx_x | 06103b7d_1
b3fffefb_dfffff9f_137fff5c_xxxxx_x | 137fff5c_1
3fcbfd75_4b800001_33cbfd73_xxxxx_x | 33cbfd73_1
bf6fffbe_c1801fff_3d6fc3cf_xxxxx_x | 3d6fc3cf_1
404efd70_df7ff7fc_a04f03ec_xxxxx_x | a04f03eb_0
bf417a6d_4bffffff_b2c17a6e_xxxxx_x | b2c17a6e_1
c18003fb_4bfffffe_b50003fc_xxxxx_x | b50003fc_1
41f7dffe_cfffbeff_b1781eff_xxxxx_x | b1781eff_1
438ded5a_df10000f_a3fc5086_xxxxx_x | a3fc5086_1
4f080007_b7ffffba_d688002c_xxxxx_x | d688002c_1
4e6000fe_cf013ff0_beddd684_xxxxx_x | beddd681_0
33db832f_50ffbffa_225bba23_xxxxx_x | 225bba23_1
4f00040e_feff4f39_8f805cb2_xxxxx_x | 8f805cb2_1
3fb5b649_3e800007_40b5b63f_xxxxx_x | 40b5b63f_1
c1836a63_c023da9a_40cd51c4_xxxxx_x | 40cd51c4_1
3e5ffeff_be175648_bfbd7461_xxxxx_x | bfbd7461_1
4bcffffe_120cec37_793ced1d_xxxxx_x | 793ced1d_1
3fe3fffe_bef5032c_c06e3983_xxxxx_x | c06e3983_1
3e640000_e0fffffe_9ce40002_xxxxx_x | 9ce40002_1
df81275e_28b38b5e_f63826c7_xxxxx_x | f63826c7_1
c3ff7fde_5d80ffde_a5fd8517_xxxxx_x | a5fd8517_1
e4194942_ce90000e_55084111_xxxxx_x | 55084111_1
3eb05a17_5e7e0006_1fb1bd8e_xxxxx_x | 1fb1bd8e_1
17fefe00_b481fffe_a2fb11bd_xxxxx_x | a2fb11bd_1
